report_id,report_text,label
85,I was harassed by a robot at the grocery store checkout.,0
3,"My online privacy was violated, and I have been receiving harassing emails.",1
65,My neighbor's pet parrot keeps making rude remarks about me.,0
19,A fellow student has been making sexist comments and harassing me.,1
43,My landlord is making inappropriate advances and refuses to fix issues in my apartment.,1
6,A customer at my workplace harassed me and tried to get my personal number.,1
62,The stars in the night sky arranged themselves to spell out insults.,0
33,My professor made inappropriate comments about my appearance in class.,1
40,A stranger followed me from the bus stop and tried to force a conversation.,1
35,My supervisor threatened to fire me unless I agreed to go on a date with him.,1
38,"I reported workplace harassment, but my manager ignored my complaint.",1
86,My neighbor's pet parrot keeps making rude remarks about me.,0
78,A haunted house told me to leave because I was too boring.,0
80,A vending machine refused to give me my snack and laughed at me.,0
79,A vending machine refused to give me my snack and laughed at me.,0
87,A fictional character from my book came to life and insulted me.,0
51,I got a threatening email from a time traveler.,0
100,A man turned into a werewolf and tried to scare me.,0
90,A fictional character from my book came to life and insulted me.,0
73,I got a threatening email from a time traveler.,0
92,A fictional character from my book came to life and insulted me.,0
10,I have been cyberbullied continuously on social media by an anonymous user.,1
72,My shadow refuses to follow me and mocks my every move.,0
57,The wind yelled insults at me while I was jogging.,0
81,I got a threatening email from a time traveler.,0
66,A stranger stole my shadow and now I feel empty.,0
11,"My online privacy was violated, and I have been receiving harassing emails.",1
64,The stars in the night sky arranged themselves to spell out insults.,0
50,My gym trainer keeps making suggestive comments and invading my space.,1
59,I was attacked by an invisible entity while walking in the park.,0
70,My shadow refuses to follow me and mocks my every move.,0
2,A customer at my workplace harassed me and tried to get my personal number.,1
31,My gym trainer keeps making suggestive comments and invading my space.,1
89,A mannequin at the mall winked at me aggressively.,0
8,A coworker has been making unwanted physical contact despite my repeated objections.,1
15,A vendor in my neighborhood makes me uncomfortable with his behavior.,1
77,A haunted house told me to leave because I was too boring.,0
27,My ex-partner has been stalking me and threatening my safety.,1
54,A haunted house told me to leave because I was too boring.,0
39,Someone keeps sending me explicit pictures online without my consent.,1
91,My coffee cup whispered mean things to me this morning.,0
41,I have been cyberbullied continuously on social media by an anonymous user.,1
68,My reflection in the mirror bullied me today.,0
58,The wind yelled insults at me while I was jogging.,0
98,Aliens landed in my backyard and harassed my dog.,0
94,"I received a threatening text message from an unknown number, but it was just emojis.",0
69,The clouds in the sky formed words that harassed me.,0
16,A stranger followed me from the bus stop and tried to force a conversation.,1
20,I have been cyberbullied continuously on social media by an anonymous user.,1
12,I have been cyberbullied continuously on social media by an anonymous user.,1
55,A stranger stole my shadow and now I feel empty.,0
97,I got a threatening email from a time traveler.,0
13,A fellow student has been making sexist comments and harassing me.,1
60,A ghost followed me home and whispered insults in my ear.,0
29,I have been cyberbullied continuously on social media by an anonymous user.,1
53,A talking dog insulted my hairstyle on my way to work.,0
30,A group of men followed me on my way home and made me feel unsafe.,1
36,A security guard at my office building has been acting inappropriately.,1
67,My microwave beeped at me in a threatening way.,0
52,A vending machine refused to give me my snack and laughed at me.,0
83,My shadow refuses to follow me and mocks my every move.,0
61,My neighbor's pet parrot keeps making rude remarks about me.,0
7,A group of men followed me on my way home and made me feel unsafe.,1
37,A coworker has been making unwanted physical contact despite my repeated objections.,1
14,My supervisor threatened to fire me unless I agreed to go on a date with him.,1
42,"I reported workplace harassment, but my manager ignored my complaint.",1
28,My gym trainer keeps making suggestive comments and invading my space.,1
75,My neighbor's pet parrot keeps making rude remarks about me.,0
95,A fictional character from my book came to life and insulted me.,0
76,A man turned into a werewolf and tried to scare me.,0
93,A man turned into a werewolf and tried to scare me.,0
71,The stars in the night sky arranged themselves to spell out insults.,0
82,A vending machine refused to give me my snack and laughed at me.,0
45,My gym trainer keeps making suggestive comments and invading my space.,1
88,The stars in the night sky arranged themselves to spell out insults.,0
23,I was harassed at my workplace by a senior colleague who made inappropriate remarks.,1
26,A customer at my workplace harassed me and tried to get my personal number.,1
46,A fellow student has been making sexist comments and harassing me.,1
9,My supervisor threatened to fire me unless I agreed to go on a date with him.,1
5,I have faced continuous harassment from a colleague who refuses to take no for an answer.,1
47,A stranger followed me from the bus stop and tried to force a conversation.,1
4,My gym trainer keeps making suggestive comments and invading my space.,1
48,I have been receiving anonymous threatening calls daily.,1
44,I have been cyberbullied continuously on social media by an anonymous user.,1
49,A security guard at my office building has been acting inappropriately.,1
21,I have been cyberbullied continuously on social media by an anonymous user.,1
34,I was verbally abused and humiliated in front of my colleagues.,1
1,I was harassed at my workplace by a senior colleague who made inappropriate remarks.,1
99,I was attacked by an invisible entity while walking in the park.,0
56,The ATM machine called me ugly when I withdrew money.,0
24,A vendor in my neighborhood makes me uncomfortable with his behavior.,1
18,"Someone spread false rumors about me, leading to workplace discrimination.",1
25,Someone keeps sending me explicit pictures online without my consent.,1
84,A ghost followed me home and whispered insults in my ear.,0
63,The clouds in the sky formed words that harassed me.,0
22,"Someone spread false rumors about me, leading to workplace discrimination.",1
32,A security guard at my office building has been acting inappropriately.,1
74,I was attacked by an invisible entity while walking in the park.,0
96,A vending machine refused to give me my snack and laughed at me.,0
17,I have been cyberbullied continuously on social media by an anonymous user.,1
